161, Gyroscope, 349241.1730, 0.038575, -0.122919, 0.027905
162, Accelerometer, 349241.1730, -0.013780, -0.000093, -0.001701
163, Gravity, 349241.1730, -0.036483, -0.997954, -0.052514
164, Motion, 349241.1730
165, Gyroscope, 349241.2357, -0.006418, -0.147784, 0.002835
166, Accelerometer, 349241.2357, -0.002509, 0.000391, 0.013452
167, Gravity, 349241.2357, -0.038812, -0.997965, -0.050592
168, Motion, 349241.2357
169, Heading, 349241.2945, 90.6878, 114.2185
170, Frame, 349241.2435, 15
171, Gyroscope, 349241.2984, 0.004103, -0.144909, -0.024611
172, Accelerometer, 349241.2984, 0.006871, -0.003551, -0.008450
173, Gravity, 349241.2984, -0.037908, -0.997975, -0.051074
174, Motion, 349241.2984
175, Gyroscope, 349241.3612, -0.087992, -0.162016, -0.037128
176, Accelerometer, 349241.3612, 0.002615, -0.004429, -0.010226
177, Gravity, 349241.3612, -0.037206, -0.997951, -0.052045
178, Motion, 349241.3612
179, Location, 349241.3951, -43.521651, 172.582468, 26.7377, 10.0000, 16.0000
180, Heading, 349241.4498, 91.6878, 115.2185
181, Gyroscope, 349241.4239, 0.040917, -0.081376, -0.014334
182, Accelerometer, 349241.4239, 0.011693, -0.018170, -0.010441
183, Gravity, 349241.4239, -0.035756, -0.997989, -0.052333
184, Motion, 349241.4239
185, Frame, 349241.4102, 16
186, Gyroscope, 349241.4867, -0.054101, -0.286695, -0.009121
187, Accelerometer, 349241.4867, -0.017716, 0.016552, -0.020177
188, Gravity, 349241.4867, -0.036788, -0.997784, -0.055445
189, Motion, 349241.4867
190, Heading, 349241.5522, 92.6878, 116.2185
191, Gyroscope, 349241.5494, -0.027698, -0.123576, -0.032978
192, Accelerometer, 349241.5494, -0.008690, -0.002002, 0.022629
193, Gravity, 349241.5494, -0.036217, -0.997891, -0.053864
194, Motion, 349241.5494
195, Frame, 349241.5437, 17
196, Gyroscope, 349241.6122, -0.039670, -0.192756, -0.020410
197, Accelerometer, 349241.6122, -0.007820, 0.004316, 0.004252
198, Gravity, 349241.6122, -0.034889, -0.997755, -0.057169
199, Motion, 349241.6122
200, Heading, 349241.6949, 93.6878, 117.2185
201, Gyroscope, 349241.6749, 0.004037, -0.162679, -0.028957
202, Accelerometer, 349241.6749, 0.010360, -0.010145, -0.005020
203, Gravity, 349241.6749, -0.033126, -0.997713, -0.058914
204, Motion, 349241.6749
205, Heading, 349241.7347, 94.6878, 118.2185
206, Frame, 349241.7104, 18
207, Gyroscope, 349241.7377, -0.045561, -0.189215, -0.022803
208, Accelerometer, 349241.7377, 0.012453, -0.008576, 0.003425
209, Gravity, 349241.7377, -0.032213, -0.997711, -0.059455
210, Motion, 349241.7377
211, Heading, 349241.8447, 95.6878, 119.2185
212, Gyroscope, 349241.8004, -0.026615, -0.204084, 0.007539
213, Accelerometer, 349241.8004, 0.008126, -0.017296, 0.016599
214, Gravity, 349241.8004, -0.032112, -0.997734, -0.059125
215, Motion, 349241.8004
216, Frame, 349241.8438, 19
217, Gyroscope, 349241.8632, 0.014930, -0.117353, 0.001610
218, Accelerometer, 349241.8632, 0.011016, -0.009630, 0.007741
219, Gravity, 349241.8632, -0.032226, -0.997847, -0.057119
220, Motion, 349241.8632
221, Heading, 349241.9163, 96.6878, 120.2185
222, Gyroscope, 349241.9259, -0.075095, -0.218252, -0.014828
223, Accelerometer, 349241.9259, -0.010886, 0.004497, 0.013051
224, Gravity, 349241.9259, -0.032129, -0.997737, -0.059056
225, Motion, 349241.9259
226, Heading, 349242.0196, 97.6878, 121.2185
227, Gyroscope, 349241.9887, 0.005379, -0.124932, -0.027105
228, Accelerometer, 349241.9887, 0.008641, -0.014415, 0.037864
229, Gravity, 349241.9887, -0.030934, -0.997898, -0.056938
230, Motion, 349241.9887
231, Frame, 349241.9772, 20
232, Gyroscope, 349242.0514, -0.027771, -0.159950, -0.044065
233, Accelerometer, 349242.0514, 0.009766, 0.000152, 0.008576
234, Gravity, 349242.0514, -0.029740, -0.997909, -0.057389
235, Motion, 349242.0514
236, Heading, 349242.1232, 98.6878, 122.2185
237, Gyroscope, 349242.1142, 0.019532, -0.155091, -0.016357
238, Accelerometer, 349242.1142, -0.005080, 0.000511, -0.013190
239, Gravity, 349242.1142, -0.027895, -0.997917, -0.058160
240, Motion, 349242.1142
241, Frame, 349242.1440, 21
242, Heading, 349242.2006, 99.6878, 123.2185
243, Gyroscope, 349242.1769, -0.059701, -0.200744, -0.035573
244, Accelerometer, 349242.1769, 0.003152, -0.004465, 0.021034
245, Gravity, 349242.1769, -0.027429, -0.998007, -0.056831
246, Motion, 349242.1769
247, Gyroscope, 349242.2397, -0.007717, -0.204206, -0.009246
248, Accelerometer, 349242.2397, -0.012842, 0.001592, -0.008888
249, Gravity, 349242.2397, -0.026632, -0.997914, -0.058800
250, Motion, 349242.2397
251, Heading, 349242.3040, 100.6878, 124.2185
252, Gyroscope, 349242.3024, -0.063169, -0.217763, -0.005024
253, Accelerometer, 349242.3024, 0.007846, -0.009144, 0.023134
254, Gravity, 349242.3024, -0.027728, -0.997921, -0.058184
255, Motion, 349242.3024
256, Frame, 349242.2774, 22
257, Location, 349242.3933, -43.521651, 172.582468, 20.1711, 10.0000, 16.0000
258, Gyroscope, 349242.3652, -0.024406, -0.220106, -0.044456
259, Accelerometer, 349242.3652, -0.013722, 0.002255, -0.004240
260, Gravity, 349242.3652, -0.029140, -0.997815, -0.059298
261, Motion, 349242.3652
262, Heading, 349242.4079, 101.6878, 125.2185
263, Gyroscope, 349242.4279, -0.004298, -0.224631, -0.026403
264, Accelerometer, 349242.4279, 0.001520, -0.019891, -0.015380
265, Gravity, 349242.4279, -0.027842, -0.997839, -0.059510
266, Motion, 349242.4279
267, Heading, 349242.4862, 102.6878, 126.2185
268, Frame, 349242.4108, 23
269, Gyroscope, 349242.4907, -0.077685, -0.285598, -0.042623
270, Accelerometer, 349242.4907, -0.008562, 0.001144, 0.005516
271, Gravity, 349242.4907, -0.028364, -0.997802, -0.059883
272, Motion, 349242.4907
273, Heading, 349242.5628, 103.6878, 127.2185
274, Gyroscope, 349242.5534, 0.066640, -0.186109, -0.013673
275, Accelerometer, 349242.5534, 0.002611, 0.004320, -0.015074
276, Gravity, 349242.5534, -0.026536, -0.997866, -0.059664
277, Motion, 349242.5534
278, Frame, 349242.5775, 24
279, Heading, 349242.6420, 104.6878, 128.2185
280, Gyroscope, 349242.6162, -0.070463, -0.279131, -0.011726
281, Accelerometer, 349242.6162, 0.007872, 0.012138, 0.047973
282, Gravity, 349242.6162, -0.024992, -0.997963, -0.058700
283, Motion, 349242.6162
284, Gyroscope, 349242.6789, -0.013528, -0.194549, -0.000845
285, Accelerometer, 349242.6789, 0.021854, -0.002251, -0.020269
286, Gravity, 349242.6789, -0.023639, -0.997932, -0.059779
287, Motion, 349242.6789
