187, Accelerometer, 356030.7883, 0.010871, -0.006197, 0.004544
188, Gravity, 356030.7883, -0.005545, -0.993787, -0.111157
189, Motion, 356030.7883
190, Gyroscope, 356030.8511, 0.037918, 0.005675, -0.013673
191, Accelerometer, 356030.8511, -0.026379, 0.008665, -0.012014
192, Gravity, 356030.8511, -0.007175, -0.993757, -0.111338
193, Motion, 356030.8511
194, Heading, 356030.9420, 37.9947, 61.5257
195, Gyroscope, 356030.9139, -0.036644, -0.044880, -0.039945
196, Accelerometer, 356030.9139, 0.025732, -0.010045, 0.015224
197, Gravity, 356030.9139, -0.003698, -0.994151, -0.107937
198, Motion, 356030.9139
199, Frame, 356030.9100, 18
200, Gyroscope, 356030.9766, 0.004746, -0.012231, -0.039130
201, Accelerometer, 356030.9766, -0.030832, 0.012991, -0.015076
202, Gravity, 356030.9766, -0.003256, -0.994009, -0.109252
203, Motion, 356030.9766
204, Gyroscope, 356031.0394, -0.004727, -0.065611, -0.002389
205, Accelerometer, 356031.0394, 0.020007, -0.016491, 0.014012
206, Gravity, 356031.0394, -0.000689, -0.994069, -0.108754
207, Motion, 356031.0394
208, Frame, 356031.0434, 19
209, Gyroscope, 356031.1022, 0.023413, -0.098016, -0.018013
210, Accelerometer, 356031.1022, 0.010037, 0.007059, -0.019668
211, Gravity, 356031.1022, -0.000500, -0.993982, -0.109544
212, Motion, 356031.1022
213, Gyroscope, 356031.1650, 0.001250, -0.011985, -0.028753
214, Accelerometer, 356031.1650, -0.009889, -0.002438, 0.011932
215, Gravity, 356031.1650, -0.001647, -0.994144, -0.108047
216, Motion, 356031.1650
217, Frame, 356031.1768, 20
218, Gyroscope, 356031.2278, 0.003866, 0.025271, 0.006937
219, Accelerometer, 356031.2278, 0.007714, -0.009007, 0.001013
220, Gravity, 356031.2278, 0.000312, -0.994137, -0.108130
221, Motion, 356031.2278
222, Heading, 356031.2791, 38.9947, 62.5257
223, Gyroscope, 356031.2905, -0.012921, -0.013120, -0.032855
224, Accelerometer, 356031.2905, -0.014309, 0.001006, -0.003056
225, Gravity, 356031.2905, -0.000065, -0.994140, -0.108104
226, Motion, 356031.2905
227, Gyroscope, 356031.3533, 0.020313, 0.032888, -0.016553
228, Accelerometer, 356031.3533, -0.019595, 0.004911, 0.008584
229, Gravity, 356031.3533, 0.000308, -0.994184, -0.107690
230, Motion, 356031.3533
231, Frame, 356031.3436, 21
232, Gyroscope, 356031.4161, 0.014392, 0.029349, -0.019282
233, Accelerometer, 356031.4161, 0.011614, -0.004300, -0.001556
234, Gravity, 356031.4161, 0.002302, -0.994204, -0.107483
235, Motion, 356031.4161
236, Gyroscope, 356031.4789, -0.003456, -0.018808, -0.018766
237, Accelerometer, 356031.4789, -0.029465, 0.002814, -0.006699
238, Gravity, 356031.4789, 0.002426, -0.994253, -0.107025
239, Motion, 356031.4789
240, Frame, 356031.4770, 22
241, Gyroscope, 356031.5416, 0.009669, 0.038635, -0.028349
242, Accelerometer, 356031.5416, 0.021192, -0.012258, -0.001495
243, Gravity, 356031.5416, 0.005282, -0.994379, -0.105744
244, Motion, 356031.5416
245, Gyroscope, 356031.6044, 0.008250, 0.021139, -0.077050
246, Accelerometer, 356031.6044, -0.010599, 0.001318, 0.005515
247, Gravity, 356031.6044, 0.006922, -0.994498, -0.104530
248, Motion, 356031.6044
249, Frame, 356031.6437, 23
250, Gyroscope, 356031.6672, -0.013797, 0.214301, -0.151482
251, Accelerometer, 356031.6672, -0.030710, 0.006730, 0.032640
252, Gravity, 356031.6672, 0.013086, -0.994737, -0.101625
253, Motion, 356031.6672
254, Gyroscope, 356031.7300, -0.046959, -0.039735, 0.033381
255, Accelerometer, 356031.7300, 0.021857, -0.016643, -0.038468
256, Gravity, 356031.7300, 0.018823, -0.994191, -0.105971
257, Motion, 356031.7300
258, Gyroscope, 356031.7927, 0.045108, -0.072069, 0.052811
259, Accelerometer, 356031.7927, 0.013900, -0.002267, -0.019599
260, Gravity, 356031.7927, 0.016816, -0.994162, -0.106576
261, Motion, 356031.7927
262, Frame, 356031.7771, 24
